datas,valor
01/07/1991,3.526.591
01/08/1991,3.180.891
01/09/1991,3.252.221
01/10/1991,3.611.003
01/11/1991,3.565.869
01/12/1991,4.306.371
01/01/1992,5.088.335
01/02/1992,281.452
01/03/1992,2.985.811
01/04/1992,320.478
01/05/1992,3.127.578
01/06/1992,3.270.523
01/07/1992,373.785.082
01/08/1992,355.877.609
01/09/1992,377.720.173
01/10/1992,392.449.042
01/11/1992,438.653.092
01/12/1992,581.054.917
01/01/1993,619.206.769
01/02/1993,345.085.699
01/03/1993,377.230.686
01/04/1993,37.343.029
01/05/1993,390.539.892
01/06/1993,404.968.714
01/07/1993,431.556.552
01/08/1993,456.218.455
01/09/1993,460.866.203
01/10/1993,466.785.129
01/11/1993,509.384.145
01/12/1993,71.799.622
01/01/1994,673.147.308
01/02/1994,384.127.758
01/03/1994,439.407.557
01/04/1994,407.534.073
01/05/1994,45.406.449
01/06/1994,464.561.508
01/07/1994,475.260.653
01/08/1994,535.060.467
01/09/1994,520.445.484
01/10/1994,53.016.513
01/11/1994,577.374.216
01/12/1994,620.459.348
01/02/1995,421.606.735
01/03/1995,494.934.946
01/04/1995,48.230.449
01/05/1995,519.475.419
01/06/1995,517.078.711
01/07/1995,525.674.157
01/08/1995,585.527.729
01/09/1995,549.072.901
01/10/1995,611.529.323
01/11/1995,608.847.284
01/12/1995,741.659.792
01/01/1996,832.945.212
01/02/1996,506.979.585
01/03/1996,526.255.667
01/04/1996,559.712.628
01/05/1996,6.110.296
01/06/1996,568.916.084
01/07/1996,648.684.933
01/08/1996,630.056.933
01/09/1996,646.747.574
01/10/1996,682.862.939
01/11/1996,664.907.826
01/12/1996,860.693.721
01/01/1997,852.447.101
01/02/1997,527.791.837
01/03/1997,571.430.345
01/04/1997,621.452.908
01/05/1997,641.192.919
01/06/1997,666.771.564
01/07/1997,705.083.102
01/08/1997,670.491.861
01/09/1997,725.098.761
01/10/1997,781.973.318
01/11/1997,739.810.106
01/12/1997,1.009.623.339
01/02/1998,591.826.076
01/03/1998,653.449.298
01/04/1998,667.573.561
01/05/1998,706.420.058
01/06/1998,738.338.118
01/07/1998,781.349.587
01/08/1998,743.189.221
01/09/1998,827.511.722
01/10/1998,826.044.138
01/11/1998,859.615.575
01/12/1998,1.055.893.902
01/01/1999,103.914.156
01/02/1999,642.153.456
01/03/1999,806.261.937
01/04/1999,72.977.391
01/05/1999,793.691.594
01/06/1999,816.532.298
01/07/1999,871.742.046
01/08/1999,907.096.378
01/09/1999,917.711.337
01/10/1999,925.188.674
01/11/1999,993.313.643
01/12/1999,1.153.297.428
01/01/2000,1.251.146.235
01/02/2000,745.719.853
01/03/2000,859.119.084
01/04/2000,847.400.037
01/05/2000,93.868.026
01/06/2000,956.039.945
01/07/2000,108.342.948
01/08/2000,1.064.375.083
01/09/2000,990.816.186
01/10/2000,117.100.413
01/11/2000,1.134.015.074
01/12/2000,1.207.913.184
01/01/2001,1.449.758.109
01/02/2001,804.927.477
01/03/2001,1.031.289.116
01/04/2001,975.335.821
01/05/2001,1.085.038.183
01/06/2001,996.171.916
01/07/2001,1.144.360.144
01/08/2001,1.165.923.889
01/09/2001,1.064.705.979
01/10/2001,1.265.213.444
01/11/2001,1.367.446.631
01/12/2001,1.296.573.509
01/01/2002,1.630.026.927
01/02/2002,905.348.536
01/03/2002,1.000.244.879
01/04/2002,1.078.875.007
01/05/2002,1.210.670.515
01/06/2002,1.095.410.107
01/07/2002,1.284.456.587
01/08/2002,1.219.649.985
01/09/2002,1.285.474.787
01/10/2002,1.354.200.436
01/11/2002,1.328.764
01/12/2002,1.513.491.784
01/01/2003,1.682.834.968
01/02/2003,980.021.461
01/03/2003,1.081.699.371
01/04/2003,1.065.422.256
01/05/2003,1.251.232.269
01/06/2003,1.216.120.969
01/07/2003,129.980.462
01/08/2003,1.251.727.568
01/09/2003,1.326.865.761
01/10/2003,1.473.362.169
01/11/2003,1.366.938.174
01/12/2003,1.650.396.561
01/01/2004,1.800.376.795
01/02/2004,1.193.802.987
01/03/2004,129.979.001
01/04/2004,1.288.264.507
01/05/2004,1.394.344.681
01/06/2004,139.894.722
01/07/2004,1.533.909.742
01/08/2004,1.537.076.394
01/09/2004,16.142.005
01/10/2004,16.685.754
01/11/2004,17.636.728
01/12/2004,18.869.325
01/01/2005,674.948.382
01/01/2005,20.778.723
01/02/2005,12.154.552
01/03/2005,13.402.392
01/04/2005,14.459.239
01/05/2005,14.795.102
01/06/2005,15.705.248
01/07/2005,1.582.955
01/08/2005,17.554.701
01/09/2005,18.100.864
01/10/2005,17.496.668
01/11/2005,19.347.265
01/12/2005,20.031.291
01/01/2006,23.486.694
01/02/2006,12.536.987
01/03/2006,15.467.018
01/04/2006,14.233.539
01/05/2006,17.783.058
01/06/2006,16.291.602
01/07/2006,16.980.282
01/08/2006,18.612.189
01/09/2006,16.623.343
01/10/2006,21.430.241
01/11/2006,23.575.517
01/12/2006,23.334.206
01/01/2007,28.038.383
01/02/2007,16.763.869
01/03/2007,19.792.754
01/04/2007,16.427.305
01/05/2007,21.000.742
01/06/2007,20.681.002
01/07/2007,2.183.489
01/08/2007,2.393.020.353
01/09/2007,2.293.035.694
01/10/2007,2.326.333.992
01/11/2007,2.525.003.022
01/12/2007,26
01/01/2008,879.851.303
01/01/2008,29.665.356
01/02/2008,21.654.285
01/03/2008,18.264.945
01/04/2008,23.107.677
01/05/2008,2.291.251
01/06/2008,1.943.174